Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
1828,30/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಕೊರತೆ ನೀಗಲು ಕೈಗೊಂಡಿರುವ ಕ್ರಮಗಳು,Measures taken by the power shortage,ಜಗದೀಶ್ ಶೆಟ್ಟರ್,Jagadish Shettar
1829,30/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಪೋಲಿಸ್ ಠಾಣೆಗೆ ಸ್ವಂತ ಕಟ್ಟಡ,Own Building for Police Station,ಕೋನರೆಡ್ಡಿ ಎನ್. ಎಚ್.,Konareddy N  H 
1830,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಸ್ವಚ್ಛತಾ ಕಾರ್ಯನಿರ್ವಹಣೆ,Cleanup performance,ಕೋನರೆಡ್ಡಿ ಎನ್. ಎಚ್.,Konareddy N  H 
1831,30/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಮಾರ್ಗವನ್ನು ಭೂಗತ ಕೇಬಲ್ ಗೆ ಪರಿವರ್ತಿಸುವುದು,Converting the electric line to the underground cable,ಕೃಷ್ಣಪ್ಪ ಎಂ.ಟಿ.,Krishnappa M T 
1832,30/07/2013,ಗೃಹ,Home,ಮರಳು ಲಾರಿಗಳ ನಿಲುಗಡೆಯನ್ನು ತೆರವುಗೊಳಿಸುವುದು,Clear the luggage of sand lorries,ಕೃಷ್ಣಪ್ಪ ಎಂ.ಟಿ.,Krishnappa M T 
1833,30/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಕ್ರಷರ್ ಗಳ ಕಾರ್ಯಾಚರಣೆ,Operation of crushers,ನಾಗರಾಜ್ ಎಂ.ಟಿ.ಬಿ.,Nagaraj M T B 
1834,30/07/2013,ಮುಜರಾಯಿ,Muzarai,ಬ್ರಹ್ಮಶ್ರೀ ನಾರಾಯಣ ಗುರುಗಳ ಜಯಂತಿ,Brahmashri Narayana Guru Jayanti,ಮಧು ಬಂಗಾರಪ್ಪ ಎಸ್.,Madhu Bangarappa S 
1835,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಬೆಂಗಳೂರಿನಲ್ಲಿರುವ ಕ್ಷಬ್ ಗಳು ಮತ್ತು ರಿಸಾರ್ಟ್ ಗಳು,Curbs and resorts in Bangalore,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ಧರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
1836,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಬಿ.ಡಿ.ಎ. ಲಾಭ ಮತ್ತು ನಷ್ಟದ ಬಗ್ಗೆ,BDA About Profit and Loss,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ಧರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
1837,30/07/2013,ಗೃಹ,Home,ಪೋಲಿಸ್ ಠಾಣೆಗಳಿಗೆ ಸ್ವಂತ ಕಟ್ಟಡ,Owned by police stations,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ಧರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
1838,30/07/2013,ಇಂಧನ,Fuel,ವಿವಿಧ ಯೋಜನೆಗಳ ಅನುಷ್ಠಾನ,Implementation of various schemes,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ಧರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
1839,30/07/2013,ಆರ್ಥಿಕ,Economy,ಕೈಗಾರಿಕೆಗಳಿಂದ ತೆರಿಗೆ ಪಾವತಿ,Tax payments from industries,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ಧರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
1840,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಅಭಿವೃದ್ಧಿ ಪ್ರಾಧಿಕಾರವನ್ನು ರಚಿಸುವುದು,Creating a Development Authority,ಮಾನಪ್ಪ ಡಿ. ವಜ್ಜಲ್,Manappa D  Vajzal
1841,30/07/2013,ಇಂಧನ,Fuel,ಜಲವಿದ್ಯುತ್ ಉತ್ಪಾದನಾ ಘಟಕವನ್ನು ಸ್ಥಾಪಿಸುವುದು,Establishment of hydroelectric power plant,ಮಾನಪ್ಪ ಡಿ. ವಜ್ಜಲ್,Manappa D  Vajzal
1842,30/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಕಾಮಗಾರಿಗಳು ಸ್ಥಗಿತಗೊಂಡಿರುವುದು,Works have been suspended,ಮಾನಪ್ಪ ಡಿ. ವಜ್ಜಲ್,Manappa D  Vajzal
1843,30/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ವಿವಿಧ ಇಲಾಖೆಯಲ್ಲಿನ ಹುದ್ದೆಗಳ ನೇಮಕ,Appointment of posts in various departments,ಮಂಜುನಾಥ್ ಹೆಚ್.ಪಿ.,Manjunath H P 
1844,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,KIADB ವತಿಯಿಂದ ಉದ್ಯೋಗ ಕಲ್ಪಿಸಿರುವುದು,Employment by KIADB,ಮೋಹಿಯುದ್ದಿನ್ ಬಾವಾ ಬಿ.ಎ.,Mohiuddin BAVA BA
1845,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,KIADB ವತಿಯಿಂದ ಉದ್ಯೋಗ ಕಲ್ಪಿಸಿರುವುದು,Employment by KIADB,ಮೋಹಿಯುದ್ದಿನ್ ಬಾವಾ ಬಿ.ಎ.,Mohiuddin BAVA BA
1846,30/07/2013,ಪಶುಸಂಗೋಪನೆ,Animal husbandry,ಪಶು ಚಿಕಿತ್ಸಾ ಕೇಂದ್ರಗಳು,Veterinary Clinic,ನಾಗೇಂದ್ರ ಬಿ.,Nagendra B 
1847,30/07/2013,ಆರ್ಥಿಕ,Economy,ತಾಲ್ಲೂಕುವಾರು ಹಣಕಾಸು ವಿನಿಯೋಗ,Taluk Savings Finance,ನಾರಾಯಣ ಗೌಡ,Narayana Gowda
1848,30/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಕಲ್ಲುಗಣಿಗಳ ನಿಯಂತ್ರಣ,Control of quarries,ನಾರಾಯಣ ಗೌಡ,Narayana Gowda
1849,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಜಿ. ಕೆಟಗರಿಯಲ್ಲಿ ಹಂಚಿಕೆಯಾದ ನಿವೇಶನ,G. Site shared in category,ಪಾಟೀಲ್ ಜಿ.ಟಿ.,Patil GT
1850,30/07/2013,ಆರ್ಥಿಕ,Economy,ರೈತರಿಗೆ ಪರಿಹಾರ ನೀಡುವಲ್ಲಿ ಅವ್ಯವಹಾರ,Disadvantage of compensation for farmers,ಪಾಟೀಲ್ ಜಿ.ಟಿ.,Patil GT
1851,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಡಿನೋಟಿಫ್ಯ ಮಾಡಲಾದ ಜಮೀನು,Denotified Land,ಪಾಟೀಲ್ ಜಿ.ಟಿ.,Patil GT
1852,30/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಪಶು ಚಿಕಿತ್ಸಾಲಯ ಮತ್ತು ವೈದ್ಯರು,Veterinary Clinic and Doctor,ಪಾಟೀಲ್ ಜಿ.ಟಿ.,Patil GT
1853,30/07/2013,ಇಂಧನ,Fuel,ಅಗನವಾಡಿಗೆ 110 ಕೆ.ವಿ. ಸ್ಷೇಷನ್,Agnawadi is 110 kv. Session,ಪಾಟೀಲ್ ಜಿ.ಟಿ.,Patil GT
1854,30/07/2013,ಇಂಧನ,Fuel,ನಿರಂತರ ಜ್ಯೋತಿ ಕಾಮಗಾರಿ,Continuous Jyothi Works,ಪ್ರಭು ಬಿ. ಚೌವ್ಜಾಣ್,Prabhu B  Chauhajan
1855,30/07/2013,ಇಂಧನ,Fuel,ಇಂಧನ ಇಲಾಖೆಯಲ್ಲಿ ಖಾಲಿಯಿರುವ ಸಿಬ್ಬಂದಿ,Empty staff in the fuel department,ಪ್ರಮೋದ್ ಮಧ್ವರಾಜ್,Pramod Madhwaraj
1856,30/07/2013,ಗೃಹ,Home,ಪೋಲಿಸ್ ಇಲಾಖೆಯಲ್ಲಿ ಬಡ್ತಿ ನೀಡುವುದು,Promoting Police Department,ರಾಮಕ್ಕ ವೈ,Ramakka Y 
1857,30/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಆಕ್ರಮ ಮರಳು ದಂಧೆಗೆ ಕಡಿವಾಣ,Aggressive sand can be cut into the dirt,ರವಿ ಸಿ.ಟಿ.,Ravi CT
1858,30/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಉತ್ಪಾದನಾ ಸಾಮರ್ಥ್ಯ,Power generation capacity,ರವಿ ಸಿ.ಟಿ.,Ravi CT
1859,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,Speed Express Highway,Speed ​​Express Highway,ರೋಷನ್ ಬೇಗ್ ಆರ್.,Roshan Baig R 
1860,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,Express Highway Trains,Express Highway Trains,ರೋಷನ್ ಬೇಗ್ ಆರ್.,Roshan Baig R 
1861,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,Revenue collected from Hoardings,Revenue collected from Hoardings,ರೋಷನ್ ಬೇಗ್ ಆರ್.,Roshan Baig R 
1862,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕಾವಲ್ ಬೈರಸಂದ್ರ ಗ್ರಾಮದಲ್ಲಿ ಹೆಚ್.ಆರ್.ಬಿ.ಆರ್. ಬಡಾವಣೆ ನಿರ್ಮಾಣ,HRBR in Kawal Byrassandra village Layout Construction,ರುದ್ರಪ್ಪ ಮಾನಪ್ಪ ಲಮಾಣಿ,Rudrappa Manappa Lamani
1863,30/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಪಶು ಚಿಕಿತ್ಸಾ ಕೇಂದ್ರಗಳುನ್ನು ತೆರೆಯುವುದು,Opening Veterinary Clinic,ರುದ್ರೇಶ್ ಗೌಡ ವೈ.ಎನ್.,Rudresh Gowda Y N 
1864,30/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಗಣಿಗಾರಿಕೆ,Mining,ರುದ್ರೇಶ್ ಗೌಡ ವೈ.ಎನ್.,Rudresh Gowda Y N 
1865,30/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಮರಳು ಸಾಗಾಣಿಕೆ,Sand transport,ಸತೀಶ್ ಸೈಲ್ ಕೃಷ್ಣ,Satish Sail Krishna
1866,30/07/2013,ಗೃಹ,Home,ಪೋಲಿಸ್ ಸಿಬ್ಬಂದಿಗಳಿಗೆ ವಸತಿ ಸೌಕರ್ಯ ಕಲ್ಪಿಸುವುದು,Provide accommodation for police personnel,ಶಕುಂತಲಾ ಟಿ. ಶೆಟ್ಟಿ,Shakuntala T  Shetty
1867,30/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಪಶುವೈದ್ಯ ಕಾಲೇಜು ಪ್ರಾರಂಭಿಸುವುದು,Launching veterinarian college,ಶಕುಂತಲಾ ಟಿ. ಶೆಟ್ಟಿ,Shakuntala T  Shetty
1868,30/07/2013,ಗೃಹ,Home,ಮಹಿಳೆಯರ ಮೇಲೆ ನಡೆದ ಅತ್ಯಾಚಾರ ಮತ್ತು ದೌರ್ಜನ್ಯಗಳು,Rape and Violence Against Women,ಶಕುಂತಲಾ ಟಿ. ಶೆಟ್ಟಿ,Shakuntala T  Shetty
1869,30/07/2013,ಇಂಧನ,Fuel,ಹುದ್ದೆಗಳನ್ನು ಭರ್ತಿ ಮಾಡುವುದು,Filling up posts,ಶಕುಂತಲಾ ಟಿ. ಶೆಟ್ಟಿ,Shakuntala T  Shetty
1870,30/07/2013,ಗೃಹ,Home,ಪೋಲಿಸ್ ಇಲಾಖೆಯಲ್ಲಿ ಖಾಲಿ ಹುದ್ದೆಗಳ ಭರ್ತಿ,Vacancy filling in police department,ಶಿವಶಂಕರ್ ಎಚ್.ಎಸ್.,Shivshankar HS
1871,30/07/2013,ಗೃಹ,Home,ಉಪ ಕಾರಾಗೃಹಗಳನ್ನು ಹೊಸದಾಗಿ ನಿರ್ಮಿಸುವುದು,Newly constructed sub-prisons,ಶಿವಶಂಕರ್ ಎಚ್.ಎಸ್.,Shivshankar HS
1872,30/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಗುತ್ತಿಗೆ ಆಧಾರದ ಮೇಲೆ ಕರ್ತವ್ಯ ನಿರ್ವಹಿಸುತ್ತಿರುವವರ ಖಾಯಂ ಬಗ್ಗೆ,About the permanent duty of the duties on contract basis,ಸೋಮಶೇಖರ್ ಎಸ್.ಟಿ.,Somashekhar ST
1873,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಭೂ-ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಜಮೀನುದಾರರಿಗೆ ಬದಲಿ ಜಾಗ ನೀಡುವುದು,Providing replacement space for land-acquired landholders,ಸೋಮಶೇಖರ್ ಎಸ್.ಟಿ.,Somashekhar ST
1874,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕೆಂಪೇಗೌಡ ಬಡಾವಣೆಗೆ ಭೂ-ಸ್ವಾಧೀನ,Land acquisition for Kempe Gowda Layout,ಸೋಮಶೇಖರ್ ಎಸ್.ಟಿ.,Somashekhar ST
1875,30/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಆಕ್ರಮ ಕಲ್ಲು ಗಣಿಗಾರಿಕೆ,Assault stone mining,ಸೋಮಶೇಖರ್ ಎಸ್.ಟಿ.,Somashekhar ST
1876,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಜ್ಞಾನಭಾರತಿ ಬಡಾವಣೆ ನಿರ್ಮಾಣಕ್ಕೆ ಭೂ-ಸ್ವಾಧೀನ,Land acquisition for the construction of the Jnanabharathi Layout,ಸೋಮಶೇಖರ್ ಎಸ್.ಟಿ.,Somashekhar ST
1877,30/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಅಜ್ಜಂಪುರದ ಅಮೃತ್ ಮಹಲ್,Amrit Mahal of Azzampur,ಶ್ರೀನಿವಾಸ್ ಜಿ.ಎಚ್.,Srinivas G H 
1878,30/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಹಸಿರು ಹುಲ್ಲುಗಾವಲು ಮತ್ತು ಹಸು ಕರು ತಳಿ ಅಭಿವೃದ್ಧಿ,Green pasture and cattle breeding,ಶ್ರೀನಿವಾಸ್ ಜಿ.ಎಚ್.,Srinivas G H 
1879,30/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಜಾನುವಾರುಗಳ ಗಣತಿ ಮತ್ತು ಆಸ್ಪತ್ರೆಗಳ ಸೌಲಭ್ಯಗಳು,Livestock Census and Hospital Facilities,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್.ಎನ್.,Subburdy SN
1880,30/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಕಲ್ಲು ಗಣಿಗಾರಿಕೆ,Stone mining,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್.ಎನ್.,Subburdy SN
1881,30/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಸಿಬ್ಬಂದಿ ಕೊರತೆ,Staff lack,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್.ಎನ್.,Subburdy SN
1882,30/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಅಭಾವ,Power loss,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್.ಎನ್.,Subburdy SN
1883,30/07/2013,ರೇಷ್ಮೆ,Silk,ರೇಷ್ಮೆ ಬೆಳೆಗಾರರಿಗೆ ಹಂಚಿಕೆಯಾಗದಿರುವ ಸೌಲಭ್ಯಗಳು,Facilities that are not allocated for silk growers,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್.ಎನ್.,Subburdy SN
1884,30/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಬಿಲ್ ನಲ್ಲಿ ರಿಯಾಯಿತಿ ನೀಡುವುದು,Discount on Electricity Bill,ಸುಧಾಕರ ಲಾಲ್ ಪಿ.ಆರ್.,Sudhakar Lal PR
1885,30/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಅನುಕಂಪದ ಆಧಾರದ ಮೇಲೆ ಉದ್ಯೋಗ,Work on the basis of compassion,ಸುಧಾಕರ ಲಾಲ್ ಪಿ.ಆರ್.,Sudhakar Lal PR
1886,30/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಬಾಹುಬಲಿಗೆ ನಡೆಯುವ ಮಹಾಮಸ್ಥಾಭಿಷೇಕ,Mahabasthabhishekam to the Bahubali,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1887,30/07/2013,ಗೃಹ,Home,ಡ್ರಗ್ಸ್ ಮಾಫಿಯಾ ನಡೆಗಟ್ಟುವುದು,Treatment of drugs mafia,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1888,30/07/2013,ಗೃಹ,Home,ಉಗ್ರಗಾಮಿ ಸಂಘಟನೆಯ ಬೆದರಿಕೆ,The threat of militant organization,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1889,30/07/2013,ಆರ್ಥಿಕ,Economy,ತೆರಿಗೆ ಪಾವತಿಸಿರುವುದು,Tax paid,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1890,30/07/2013,ಗೃಹ,Home,ದೇವಸ್ಥಾನಗಳ ನಡೆದ ಕಳ್ಳತನ,Theft of temples,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1891,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕುಡಿಯುವ ನೀರಿನ ಘಟಕವನ್ನು ಸ್ಥಾಪಿಸುವುದು,Establishment of a drinking water unit,ಸುರೇಶ್ ಬಾಬು ಸಿ.ಬಿ.,Suresh Babu CB
1892,30/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಸಕಾಲ ಯೋಜನೆಯ ಜಾರಿ,Sakala project implementation,ಸುರೇಶ್ ಬಾಬು ಸಿ.ಬಿ.,Suresh Babu CB
1893,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಪಾರಂಪರಿಕ ಕಟ್ಟಡಗಳ ರಕ್ಷಣೆ,Protection of Heritage Buildings,ಸುರೇಶ್ ಕುಮಾರ್ ಎಸ್.,Suresh Kumar S
1894,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ನಗರದಲ್ಲಿರುವ ಸುರಂಗ ಮಾರ್ಗಗಳು,Tunnels in the city,ಸುರೇಶ್ ಕುಮಾರ್ ಎಸ್.,Suresh Kumar S
1895,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಪೇ ಅಂಡ್ ಪಾರ್ಕಿಂಗ್ ವ್ಯವಸ್ಥೆ,Pay and parking system,ಸುರೇಶ್ ಕುಮಾರ್ ಎಸ್.,Suresh Kumar S
1896,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಶಾಂತಿಸಾಗರ ಕೆರೆ,Shantisagar Lake,ತಿಪ್ಪಾರೆಡ್ಡಿ ಜಿ.ಎಚ್.,Thippareddy GH
1897,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ವಾಣಿವಿಲಾಸ ಸಾಗರದಿಂದ ನೀರು ಒದಗಿಸುವುದು,Water supply from the ocean,ತಿಪ್ಪಾರೆಡ್ಡಿ ಜಿ.ಎಚ್.,Thippareddy GH
1898,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಬಿ.ಡಿ.ಎ.ನಲ್ಲಿರುವ ಅನಗತ್ಯ ಸಿಬ್ಬಂದಿಗಳು,Unnecessary Staff in BDA,ವಿಜಯಕುಮಾರ್ ಬಿ.ಎನ್.,Vijayakumar BN
1899,30/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಖಾಸಗಿ ಕಟ್ಟಡಗಳಲ್ಲಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿರುವ ಕಛೇರಿಗಳು,Offices operating in private buildings,ವಿಜಯಕುಮಾರ್ ಬಿ.ಎನ್.,Vijayakumar BN
1900,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ತಗ್ಗು ಪ್ರದೇಶದ ಮನೆಗಳಿಗೆ ಮಳೆ ನೀರು ನುಗ್ಗುತ್ತಿರುವುದು,Rainwater is flooding down the lowlands,ವಿಜಯಕುಮಾರ್ ಬಿ.ಎನ್.,Vijayakumar BN
1901,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಜನಸಾಮಾನ್ಯರಿಗೆ ನಡೆದಾಡಲು ಫುಟ್ ಬಾತ್ ಗಳಿಲ್ಲದಿರುವುದು,There is no foot bath for the masses to walk,ವಿಜಯಕುಮಾರ್ ಬಿ.ಎನ್.,Vijayakumar BN
1902,30/07/2013,ಗೃಹ,Home,ಖಾಲಿಯಿರುವ ಸಬ್ ಇನ್ಸ್ ಪೆಕ್ಷರ್ ಹುದ್ದೆಗಳು,Empty sub-inspector posts,ವಿಶ್ವನಾಥ್ ಎಸ್. ಆರ್.,Vishwanath S  R 
1903,30/07/2013,ಇಂಧನ,Fuel,ಬೈಲಹೊಂಗಲ ಪಟ್ಟಣಕ್ಕೆ ವಿದ್ಯುತ್ ಅಭಾವ,The town of Baileyhongla has a power supply,ವಿಶ್ವನಾಥ್ ಪಾಟೀಲ್,Vishwanath Patil
1904,31/07/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪೌಢಶಿಕ್ಷಣ,Primary and Secondary Education,ಸರ್ಕಾರಿ ಅನುದಾನಿತ ಶಾಲೆಗಳಲ್ಲಿ ಶಿಕ್ಷಕರ ನೇಮಕ,Appointment of Teachers at Government Aided Schools,ರವಿಸುಬ್ರಹ್ಮಣ್ಯ ಎಲ್.ಎ.,Ravi Brahmanya L A 
1905,31/07/2013,ಪ್ರವಾಸೋಧ್ಯಮ,Tourism,ಪ್ರವಾಸಿ ಕೇಂದ್ರಗಳಾಗಿ ಅಭಿವೃದ್ಧಿ,Developed as tourist centers,ಸುಧಾಕರ ಲಾಲ್ ಪಿ.ಆರ್.,Sudhakar Lal PR
1906,31/07/2013,ಪ್ರವಾಸೋಧ್ಯಮ,Tourism,ನಿಡಗಲ್ಲು ಬೆಟ್ಟವನ್ನು ಪ್ರವಾಸಿ ತಾಣವಾಗಿ ಅಭಿವೃದ್ಧಿ,Nidgal Hill is a tourist destination,ತಿಮ್ಮರಾಯಪ್ಪ ಕೆ.ಎಂ.,Thimarayayappa KM
1907,31/07/2013,ಪ್ರವಾಸೋಧ್ಯಮ,Tourism,ಕುಮಟಾ ತಾಲ್ಲೂಕಿನಲ್ಲಿ ಪ್ರವಾಸಿ ತಾಣಗಳ ಅಭಿವೃದ್ಧಿ,Development of tourist destinations in the Kumta taluk,ಶಾರದಾ ಮೋಹನ ಶೆಟ್ಟಿ,Sharada Mohana Shetty
1908,31/07/2013,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,ತುಮಕೂರು ವಿಶ್ವವಿದ್ಯಾಲಯ,Tumkur University,ಸುರೇಶ್ ಗೌಡ ಬಿ.,Suresh Gowda b 
1909,31/07/2013,ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ,Kannada and culture,ತುಳು ಭಾಷೆಯನ್ನು ಅಧಿಕೃತ ಭಾಷೆಯಾಗಿ ಘೋಷಿಸುವುದು,Tulu is the official language,ಮೋಹಿಯುದ್ದಿನ್ ಬಾವಾ ಬಿ.ಎ.,Mohiuddin BAVA BA
1910,31/07/2013,ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ,Kannada and culture,ಕನ್ನಡಕ್ಕೆ ಶಾಸ್ತ್ರೀಯ ಭಾಷೆ ಸ್ತಾನಮಾನ,Classic language is the language of Kannada,ಗೋಪಾಲಯ್ಯ ಕೆ.,Gopalaiah K 
1911,31/07/2013,ಪ್ರವಾಸೋಧ್ಯಮ,Tourism,ಪ್ರವಾಸೋಧ್ಯಮ ತಾಣವಾಗಿ ಅಭಿವೃದ್ಧಿಪಡಿಸುವುದು,Develop as a tourist destination,ರಮೇಶ್ ಬಂಡಿಸಿದ್ದೇಗೌಡ ಎ.ಬಿ.,Ramesh Bundigida Gowda AB
1912,31/07/2013,ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ,Kannada and culture,ಬನವಾಸಿ ಅಭಿವೃದ್ಧಿ ಪ್ರಾಧಿಕಾರ ರಚನೆ,Banavasi Development Authority Structure,ಅರಬೈಲ್ ಶಿವರಾಮ್ ಹೆಬ್ಬಾರ್,Arabail Shivaram Hebbar
1913,31/07/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪೌಢಶಿಕ್ಷಣ,Primary and Secondary Education,ಚಿತ್ರಕಲಾ ಶಿಕ್ಷಕರ ಹುದ್ದೆಗಳ ಭರ್ತಿ,Filling up of painting teacher posts,ಜಗದೀಶ್ ಶೆಟ್ಟರ್,Jagadish Shettar
1914,31/07/2013,ಪ್ರವಾಸೋಧ್ಯಮ,Tourism,ಪ್ರವಾಸಿ ತಾಣವಾಗಿ ಘೋಷಣೆ,Declaration as a tourist destination,ರಾಜೀವ್ ಪಿ.,Rajiv P 
1915,31/07/2013,ಗ್ರಾಮೀಣಾಭಿವೃದ್ದಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural Development and Panchayat Raj,ನೀರಿನಲ್ಲಿ ಫ್ಲೋರೈಡ್ ಅಂಶ,Fluoride element in water,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ದರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
1916,31/07/2013,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,ಕಾಲೇಜು ಅಬಿವೃದ್ದಿ ಸಮಿತಿಗಳ ರಚನೆ,Formation of College Degree Committees,ರವಿ ಸಿ.ಟಿ.,Ravi CT
1917,31/07/2013,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ,Women and Child Development,ಅಂಗನವಾಡಿ ಕೇಂದ್ರಗಳ ಮಂಜೂರಾತಿ,Approval of Anganwadi Centers,ಕುಮಾರಸ್ವಾಮಿ ಹೆಚ್.ಕೆ.,Kumaraswamy HK
